Company name, Telephone, Email, Website
AMADA MACHINE TOOLS CO. LTD., (0463) 96-3353, NaN, http://www.amada.com/
 Beckhoff Automation GmbH & Co. KG, (045) 650-1612, NaN, https://www.beckhoff.co.jp/jp.asp?beckhoff/default.htm
 BIG DAISHOWA SEIKI CO. LTD., (072) 982-2312, export@big-net.ne.jp, http://www.big-daishowa.com
 Blum-Novotest K.K., (0568) 74-5311, info@blumlmtj.co.jp,  http://www.blum-novotest.de/en/home.html
 BROTHER INDUSTRIES LTD., (0566) 95-0068, NaN, http://www.brother.co.jp/
 Citizen Machinery Co. Ltd., (0267) 32-5900, cincom@citizen.co.jp, http://cmj.citizen.co.jp/english/
 DAINICHI KINZOKU KOGYO CO. LTD., (06) 4808-5392, info@dainichikinzoku.co.jp, http://www.dainichikinzoku.co.jp/e/index.html
 DMG MORI CO. LTD., (052) 587-1811, NaN, https://www.dmgmori.co.jp/en/
 EGURO LTD., (0266) 22-8060, NaN, http://www.eguro.co.jp
 ELENIX INC., (046) 255-8188, NaN, http://www.elenix.co.jp/
 ENSHU LIMITED, (053) 447-2111, NaN, http://www.enshu.co.jp
 FANUC CORPORATION, (0555) 84-5555, NaN, http://www.fanuc.co.jp
 FUJI CORPORATION, (0566) 81-2111, NaN, http://www.fuji.co.jp/
 FUJI SANGYO CO.LTD., (054) 267-7900, NaN,  http://www.fuji-sangyou.com/
 Haimer Japan K.K., (06) 4792-7980, haimer@haimer.jp, https://www.haimer.jp/
 HAKUSANKIKO CO. LTD, 076(275)6631, NaN, http://www.hakusankiko.co.jp
 HAMAI CO. LTD., (03) 3491-0131, info@hamai.com, http://www.hamai.com
 HEIAN CORPORATION, (053) 441-3311, NaN, http://www.heiancorp.com
 HORKOS CORP, (084) 922-2600, kouei@horkos.co.jp, http://www.horkos.co.jp
 HOWA MACHINERY LTD., (052) 408-1252, kouki@howa.co.jp, http://www.howa.co.jp/
 ICHIKAWA GRINDER MFG. CO. LTD., (048) 798-1101, office@ichikawa-grinder.co.jp, http://www.ichikawa-grinder.co.jp
 igus k.k., 03 (5819) 2030, NaN, http://www.igus.com/?C=US&L=en
 Ikegai Corp, (0299) 55-3111, NaN, http://www.ikegai.co.jp/en/index.html
 IWASHITA INDUSTRIAL CO. LTD., (0776) 41-0666, webmaster@iwashita-net.com, http://www.iwashita-net.com
 JAPAN SPEED SHORE CO. LTD., (06) 6485-4007, NaN, http://www.speedshore.co.jp
 JBM CORPORATION, (06) 6744-7331, info@jbm.co.jp, http://www.jbm.co.jp
 JEOL Ltd., (042) 542-2124, NaN,  https://www.jeol.co.jp/en/
 JTEKT CORPORATION, (06)6271-8451, NaN, http://www.jtekt.co.jp
 KANZAKI KOKYUKOKI MFG. CO. LTD., (06) 6491-7106, mtmarket@kanzaki.co.jp, http://www.kanzaki.co.jp/en/
 KARATS PRECISION  INC., (03) 3451-6861, NaN, http://www.karats.co.jp/index_en.html
 KASHIFUJI WORKS LTD., (075) 691-9171, NaN, http://www.kashifuji.co.jp/eng/index.html
 KIRIU TECHNO CORP., (0270) 40-0660, techno@kiriu.co.jp, http://www.kiriu.co.jp/techno/eng/index.htm
 KITAMURA MACHINERY CO. LTD., (0766) 63-1100, mycenter@kitamura-machinery.co.jp, https://www.kitamura-machinery.com/
 KIWA MACHINERY CO. LTD., (0595) 64-4758, overseas@kiwa-mc.co.jp, http://www.kiwa-mc.co.jp/?page_id=73
 Koike Sanso Kogyo. Ltd, +81-43-239-2140, NaN, http://www.koike-japan.com/jp/
 KOMATSU NTC LTD., (0763) 22-2161, info@komatsu-ntc.co.jp, http://ntc.komatsu/en/
 KONDO MACHINE WORKS CO. LTD., (0533) 88-8200, NaN, http://www.gr-kondo.co.jp
 KOYO MACHINE INDUSTRIES CO. LTD., (072) 922-7892, uchida-a@koyo-machine.co.jp, http://www.koyo-machine.co.jp/English/
 KURAKI CO. LTD., (03) 5651-0801, overseas@kuraki.co.jp, http://eng.kuraki.co.jp/
 KURODA PRECISION INDUSTRIES LTD., (044) 555-3860, NaN, http://www.kuroda-precision.com/
 KYOWA INDUSTRIAL CO. LTD., (027) 352-1631, NaN, http://kyowa-industrial.co.jp/en/
 MAKINO MILLING MACHINE CO. LTD., (03) 3717-1151, NaN, http://www.makino.co.jp
 MARPOSS CORP., (03) 3772-7011, NaN, http://www.marposs.com/index.php/eng
 MATSUURA MACHINERY CORPORATION, (0776) 56-8100, webmaster@matsuura.co.jp, http://www.matsuura.co.jp/english/index.shtm
 MIROKU MACHINE TOOL INC., (088)862-1136, kochi@miroku-gd.co.jp, http://www.miroku-gd.co.jp/English/index.html
 MITSUBISHI ELECTRIC CORPORATION, (03) 3218-6570 or 6555, NaN, http://global.mitsubishielectric.com/
 Mitsubishi Heavy Industries Machine Tool Co. Ltd., (077) 552-9768, NaN, http://www.mhi-machinetool.com/en/index.html
 MITSUI HIGH-TEC INC., (093)614-1142, NaN, http://www.mitsui-high-tec.com/
